"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1974-06",101.7196,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1974-07",101.6188,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1974-08",101.5284,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1974-09",101.4645,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1974-10",101.4345,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1974-11",101.3958,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1974-12",101.2861,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-01",101.0615,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-02",100.8069,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-03",100.6446,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-04",100.6741,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-05",100.8186,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-06",100.98,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-07",101.0778,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-08",101.0721,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-09",100.8918,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-10",100.4666,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-11",99.93388,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-12",99.45895,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-01",99.16388,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-02",98.99793,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-03",98.90124,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-04",98.83934,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-05",98.76857,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-06",98.64533,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-07",98.44436,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-08",98.22939,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-09",98.09133,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-10",98.10055,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-11",98.1821,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-12",98.23791,
