"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1957-12",98.26601,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-01",98.29222,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-02",98.36737,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-03",98.47795,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-04",98.60971,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-05",98.77023,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-06",98.97909,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-07",99.25487,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-08",99.56874,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-09",99.89076,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-10",100.1825,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-11",100.4058,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-12",100.5161,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-01",100.4987,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-02",100.4033,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-03",100.2876,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-04",100.1909,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-05",100.1097,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-06",100.1198,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-07",100.2717,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-08",100.6195,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-09",101.1789,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-10",101.7957,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-11",102.2968,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-12",102.5705,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-01",102.5548,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-02",102.3124,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-03",101.9631,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-04",101.5871,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-05",101.2474,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-06",100.9731,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-07",100.7731,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-08",100.6446,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-09",100.5607,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-10",100.4952,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-11",100.4552,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-12",100.4574,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-01",100.487,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-02",100.5092,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-03",100.4574,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-04",100.2863,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-05",100.0009,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-06",99.60431,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-07",99.10714,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-08",98.57921,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-09",98.12975,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-10",97.83089,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-11",97.70174,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-12",97.69106,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-01",97.75184,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-02",97.86095,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-03",98.01314,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-04",98.20374,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-05",98.37994,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-06",98.51933,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-07",98.67174,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-08",98.85754,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-09",99.04887,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-10",99.24047,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-11",99.41292,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-12",99.56214,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1963-01",99.70708,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1963-02",99.88348,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1963-03",100.0977,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1963-04",100.3277,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1963-05",100.5445,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1963-06",100.7464,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1963-07",100.9715,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1963-08",101.2032,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1963-09",101.415,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1963-10",101.573,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1963-11",101.6445,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1963-12",101.6425,
