"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","NNI","TOT","MLN_USD","A","1960",20717.7169,
"AUS","NNI","TOT","MLN_USD","A","1961",21035.9259,
"AUS","NNI","TOT","MLN_USD","A","1962",23094.8201,
"AUS","NNI","TOT","MLN_USD","A","1963",25289.2159,
"AUS","NNI","TOT","MLN_USD","A","1964",27132.2144,
"AUS","NNI","TOT","MLN_USD","A","1965",28472.4615,
"AUS","NNI","TOT","MLN_USD","A","1966",31565.4219,
"AUS","NNI","TOT","MLN_USD","A","1967",33558.7089,
"AUS","NNI","TOT","MLN_USD","A","1968",38195.9649,
"AUS","NNI","TOT","MLN_USD","A","1969",42465.5094,
"AUS","NNI","TOT","MLN_USD","A","1970",48242.9353,
"AUS","NNI","TOT","MLN_USD","A","1971",52916.8008,
"AUS","NNI","TOT","MLN_USD","A","1972",58422.298,
"AUS","NNI","TOT","MLN_USD","A","1973",65914.2133,
"AUS","NNI","TOT","MLN_USD","A","1974",73246.4786,
"AUS","NNI","TOT","MLN_USD","A","1975",81826.6499,
"AUS","NNI","TOT","MLN_USD","A","1976",87746.0496,
"AUS","NNI","TOT","MLN_USD","A","1977",91732.771,
"AUS","NNI","TOT","MLN_USD","A","1978",103004.1317,
"AUS","NNI","TOT","MLN_USD","A","1979",115161.8832,
"AUS","NNI","TOT","MLN_USD","A","1980",130450.7923,
"AUS","NNI","TOT","MLN_USD","A","1981",147291.1169,
"AUS","NNI","TOT","MLN_USD","A","1982",150893.1167,
"AUS","NNI","TOT","MLN_USD","A","1983",162627.1502,
"AUS","NNI","TOT","MLN_USD","A","1984",175010.7662,
"AUS","NNI","TOT","MLN_USD","A","1985",187430.3023,
"AUS","NNI","TOT","MLN_USD","A","1986",193629.5993,
"AUS","NNI","TOT","MLN_USD","A","1987",212047.0905,
"AUS","NNI","TOT","MLN_USD","A","1988",227926.1579,
"AUS","NNI","TOT","MLN_USD","A","1989",239166.965,
"AUS","NNI","TOT","MLN_USD","A","1990",239682.5428,
"AUS","NNI","TOT","MLN_USD","A","1991",247327.0521,
"AUS","NNI","TOT","MLN_USD","A","1992",267197.7195,
"AUS","NNI","TOT","MLN_USD","A","1993",285352.2223,
"AUS","NNI","TOT","MLN_USD","A","1994",302522.3829,
"AUS","NNI","TOT","MLN_USD","A","1995",321738.7083,
"AUS","NNI","TOT","MLN_USD","A","1996",340820.6296,
"AUS","NNI","TOT","MLN_USD","A","1997",361758.4143,
"AUS","NNI","TOT","MLN_USD","A","1998",383685.7747,
"AUS","NNI","TOT","MLN_USD","A","1999",411404.4489,
"AUS","NNI","TOT","MLN_USD","A","2000",432422.6013,
"AUS","NNI","TOT","MLN_USD","A","2001",457858.0477,
"AUS","NNI","TOT","MLN_USD","A","2002",483565.2123,
"AUS","NNI","TOT","MLN_USD","A","2003",513764.9767,
"AUS","NNI","TOT","MLN_USD","A","2004",539654.2811,
"AUS","NNI","TOT","MLN_USD","A","2005",571745.3749,
"AUS","NNI","TOT","MLN_USD","A","2006",612678.9471,
"AUS","NNI","TOT","MLN_USD","A","2007",656973.3868,
"AUS","NNI","TOT","MLN_USD","A","2008",682437.7128,
"AUS","NNI","TOT","MLN_USD","A","2009",717463.679,
"AUS","NNI","TOT","MLN_USD","A","2010",754254.7489,
"AUS","NNI","TOT","MLN_USD","A","2011",805270.911,
"AUS","NNI","TOT","MLN_USD","A","2012",809983.5801,
"AUS","NNI","TOT","MLN_USD","A","2013",890255.9826,
"AUS","NNI","TOT","MLN_USD","A","2014",897947.2941,
"AUS","NNI","TOT","MLN_USD","A","2015",895191.7089,
"AUS","NNI","TOT","MLN_USD","A","2016",968639.734,
"AUS","NNI","TOT","MLN_USD","A","2017",1015995.4447,
"AUS","NNI","TOT","USD_CAP","A","1960",1993.637069,
"AUS","NNI","TOT","USD_CAP","A","1961",1976.567679,
"AUS","NNI","TOT","USD_CAP","A","1962",2129.328276,
"AUS","NNI","TOT","USD_CAP","A","1963",2287.481985,
"AUS","NNI","TOT","USD_CAP","A","1964",2405.246681,
"AUS","NNI","TOT","USD_CAP","A","1965",2474.702461,
"AUS","NNI","TOT","USD_CAP","A","1966",2696.783025,
"AUS","NNI","TOT","USD_CAP","A","1967",2817.158848,
"AUS","NNI","TOT","USD_CAP","A","1968",3144.844351,
"AUS","NNI","TOT","USD_CAP","A","1969",3422.645819,
"AUS","NNI","TOT","USD_CAP","A","1970",3809.614513,
"AUS","NNI","TOT","USD_CAP","A","1971",4009.340603,
"AUS","NNI","TOT","USD_CAP","A","1972",4356.853103,
"AUS","NNI","TOT","USD_CAP","A","1973",4841.526946,
"AUS","NNI","TOT","USD_CAP","A","1974",5295.444987,
"AUS","NNI","TOT","USD_CAP","A","1975",5857.781297,
"AUS","NNI","TOT","USD_CAP","A","1976",6218.666492,
"AUS","NNI","TOT","USD_CAP","A","1977",6423.173972,
"AUS","NNI","TOT","USD_CAP","A","1978",7137.782904,
"AUS","NNI","TOT","USD_CAP","A","1979",7886.460058,
"AUS","NNI","TOT","USD_CAP","A","1980",8809.855655,
"AUS","NNI","TOT","USD_CAP","A","1981",9869.875759,
"AUS","NNI","TOT","USD_CAP","A","1982",9937.508507,
"AUS","NNI","TOT","USD_CAP","A","1983",10564.663668,
"AUS","NNI","TOT","USD_CAP","A","1984",11233.472802,
"AUS","NNI","TOT","USD_CAP","A","1985",11871.468261,
"AUS","NNI","TOT","USD_CAP","A","1986",12087.948816,
"AUS","NNI","TOT","USD_CAP","A","1987",13037.899304,
"AUS","NNI","TOT","USD_CAP","A","1988",13786.801388,
"AUS","NNI","TOT","USD_CAP","A","1989",14223.936921,
"AUS","NNI","TOT","USD_CAP","A","1990",14045.188295,
"AUS","NNI","TOT","USD_CAP","A","1991",14309.595703,
"AUS","NNI","TOT","USD_CAP","A","1992",15287.135095,
"AUS","NNI","TOT","USD_CAP","A","1993",16181.199805,
"AUS","NNI","TOT","USD_CAP","A","1994",16990.389648,
"AUS","NNI","TOT","USD_CAP","A","1995",17869.508206,
"AUS","NNI","TOT","USD_CAP","A","1996",18700.925642,
"AUS","NNI","TOT","USD_CAP","A","1997",19636.238087,
"AUS","NNI","TOT","USD_CAP","A","1998",20619.842143,
"AUS","NNI","TOT","USD_CAP","A","1999",21868.907518,
"AUS","NNI","TOT","USD_CAP","A","2000",22724.638511,
"AUS","NNI","TOT","USD_CAP","A","2001",23754.354036,
"AUS","NNI","TOT","USD_CAP","A","2002",24804.321695,
"AUS","NNI","TOT","USD_CAP","A","2003",26052.065936,
"AUS","NNI","TOT","USD_CAP","A","2004",27073.81745,
"AUS","NNI","TOT","USD_CAP","A","2005",28336.771686,
"AUS","NNI","TOT","USD_CAP","A","2006",29958.385757,
"AUS","NNI","TOT","USD_CAP","A","2007",31543.40331,
"AUS","NNI","TOT","USD_CAP","A","2008",32115.924966,
"AUS","NNI","TOT","USD_CAP","A","2009",33075.493344,
"AUS","NNI","TOT","USD_CAP","A","2010",34234.821888,
"AUS","NNI","TOT","USD_CAP","A","2011",36046.14642,
"AUS","NNI","TOT","USD_CAP","A","2012",35629.515038,
"AUS","NNI","TOT","USD_CAP","A","2013",38492.395942,
"AUS","NNI","TOT","USD_CAP","A","2014",38250.075357,
"AUS","NNI","TOT","USD_CAP","A","2015",37587.827883,
"AUS","NNI","TOT","USD_CAP","A","2016",40041.492213,
"AUS","NNI","TOT","USD_CAP","A","2017",41297.438193,
"AUT","NNI","TOT","MLN_USD","A","1970",24438.9179,"E"
"AUT","NNI","TOT","MLN_USD","A","1971",26971.066,"E"
"AUT","NNI","TOT","MLN_USD","A","1972",29873.904,"E"
"AUT","NNI","TOT","MLN_USD","A","1973",33120.3983,"E"
"AUT","NNI","TOT","MLN_USD","A","1974",37551.8482,"E"
"AUT","NNI","TOT","MLN_USD","A","1975",40734.0702,"E"
"AUT","NNI","TOT","MLN_USD","A","1976",45081.9602,"E"
"AUT","NNI","TOT","MLN_USD","A","1977",50096.7196,"E"
"AUT","NNI","TOT","MLN_USD","A","1978",53266.5621,"E"
"AUT","NNI","TOT","MLN_USD","A","1979",60941.0763,"E"
"AUT","NNI","TOT","MLN_USD","A","1980",67247.4757,"E"
"AUT","NNI","TOT","MLN_USD","A","1981",72933.6803,"E"
"AUT","NNI","TOT","MLN_USD","A","1982",79006.399,"E"
"AUT","NNI","TOT","MLN_USD","A","1983",84952.3216,"E"
"AUT","NNI","TOT","MLN_USD","A","1984",87976.5691,"E"
"AUT","NNI","TOT","MLN_USD","A","1985",93198.2399,"E"
"AUT","NNI","TOT","MLN_USD","A","1986",96925.2976,"E"
"AUT","NNI","TOT","MLN_USD","A","1987",100573.6483,"E"
"AUT","NNI","TOT","MLN_USD","A","1988",108193.148,"E"
"AUT","NNI","TOT","MLN_USD","A","1989",116907.0258,"E"
"AUT","NNI","TOT","MLN_USD","A","1990",126831.2659,"E"
"AUT","NNI","TOT","MLN_USD","A","1991",134739.423,"E"
"AUT","NNI","TOT","MLN_USD","A","1992",140752.0564,"E"
"AUT","NNI","TOT","MLN_USD","A","1993",144363.6838,"E"
"AUT","NNI","TOT","MLN_USD","A","1994",150845.1369,"E"
"AUT","NNI","TOT","MLN_USD","A","1995",157524.8917,
"AUT","NNI","TOT","MLN_USD","A","1996",164028.6778,
"AUT","NNI","TOT","MLN_USD","A","1997",169150.6953,
"AUT","NNI","TOT","MLN_USD","A","1998",177278.6328,
"AUT","NNI","TOT","MLN_USD","A","1999",181534.3621,
"AUT","NNI","TOT","MLN_USD","A","2000",195094.4665,
"AUT","NNI","TOT","MLN_USD","A","2001",196212.6629,
"AUT","NNI","TOT","MLN_USD","A","2002",208443.8429,
"AUT","NNI","TOT","MLN_USD","A","2003",215990.8219,
"AUT","NNI","TOT","MLN_USD","A","2004",229068.3821,
"AUT","NNI","TOT","MLN_USD","A","2005",239178.3389,
"AUT","NNI","TOT","MLN_USD","A","2006",260426.3088,
"AUT","NNI","TOT","MLN_USD","A","2007",273203.9922,
"AUT","NNI","TOT","MLN_USD","A","2008",289560.0136,
"AUT","NNI","TOT","MLN_USD","A","2009",281565.6638,
"AUT","NNI","TOT","MLN_USD","A","2010",292756.3872,
"AUT","NNI","TOT","MLN_USD","A","2011",309682.2962,
"AUT","NNI","TOT","MLN_USD","A","2012",323071.4187,
"AUT","NNI","TOT","MLN_USD","A","2013",334589.0017,
"AUT","NNI","TOT","MLN_USD","A","2014",342562.5711,
"AUT","NNI","TOT","MLN_USD","A","2015",349670.1676,
"AUT","NNI","TOT","MLN_USD","A","2016",369933.8602,
"AUT","NNI","TOT","MLN_USD","A","2017",387627.0793,
"AUT","NNI","TOT","USD_CAP","A","1970",3273.128741,"E"
"AUT","NNI","TOT","USD_CAP","A","1971",3595.888468,"E"
"AUT","NNI","TOT","USD_CAP","A","1972",3960.204091,"E"
"AUT","NNI","TOT","USD_CAP","A","1973",4366.263874,"E"
"AUT","NNI","TOT","USD_CAP","A","1974",4941.993142,"E"
"AUT","NNI","TOT","USD_CAP","A","1975",5374.934383,"E"
"AUT","NNI","TOT","USD_CAP","A","1976",5958.867395,"E"
"AUT","NNI","TOT","USD_CAP","A","1977",6619.169315,"E"
"AUT","NNI","TOT","USD_CAP","A","1978",7043.693967,"E"
"AUT","NNI","TOT","USD_CAP","A","1979",8072.280518,"E"
"AUT","NNI","TOT","USD_CAP","A","1980",8907.619381,"E"
"AUT","NNI","TOT","USD_CAP","A","1981",9636.210169,"E"
"AUT","NNI","TOT","USD_CAP","A","1982",10431.071916,"E"
"AUT","NNI","TOT","USD_CAP","A","1983",11234.241293,"E"
"AUT","NNI","TOT","USD_CAP","A","1984",11634.905383,"E"
